"Language ID","Module"
tr,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"Ocak"
_MONTH_LONG_02,"Şubat"
_MONTH_LONG_03,"Mart"
_MONTH_LONG_04,"Nisan"
_MONTH_LONG_05,"Mayıs"
_MONTH_LONG_06,"Haziran"
_MONTH_LONG_07,"Temmuz"
_MONTH_LONG_08,"Ağustos"
_MONTH_LONG_09,"Eylül"
_MONTH_LONG_10,"Ekim"
_MONTH_LONG_11,"Kasım"
_MONTH_LONG_12,"Aralık"
_MONTH_SHORT_01,Ocak
_MONTH_SHORT_02,Şubat
_MONTH_SHORT_03,Mart
_MONTH_SHORT_04,Nisan
_MONTH_SHORT_05,Mayıs
_MONTH_SHORT_06,Haziran
_MONTH_SHORT_07,Temmuz
_MONTH_SHORT_08,Ağustos
_MONTH_SHORT_09,Eylül
_MONTH_SHORT_10,Ekim
_MONTH_SHORT_11,Kasım
_MONTH_SHORT_12,Aralık
_WEEKDAY_0,"Pazar"
_WEEKDAY_1,"Pazartesi"
_WEEKDAY_2,"Salı"
_WEEKDAY_3,"Çarşamba"
_WEEKDAY_4,"Perşembe"
_WEEKDAY_5,"Cuma"
_WEEKDAY_6,"Cumartesi"
_WEEKDAY_SHORT_0,"paz"
_WEEKDAY_SHORT_1,"pts"
_WEEKDAY_SHORT_2,"sal"
_WEEKDAY_SHORT_3,"çar"
_WEEKDAY_SHORT_4,"per"
_WEEKDAY_SHORT_5,"cum"
_WEEKDAY_SHORT_6,"cts"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
_CANCEL,"İptal"
_COPIED,"Kopyalandı"
_COPIED_TO_CLIPBOARD,"Panoya kopyalandı"
_COPY_TO_CLIPBOARD,"Panoya kopyala"
_NEXT,"Sonraki"
_PREV,"Önceki"
_FILENAME,"Dosya adı:"
_LANGUAGE,"Dil:"
_PUBLISHED,"Yayınlanan:"
_CHOOSE_YOUR_LANGUAGE,"Dilinizi seçin:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"Ekran adı sadece küçük harfler a-z, büyük harfler A-Z, rakamlar 0-9, tire, alt çizgi ve nokta içerebilir."
_ERROR_SCREEN_NAME_IN_USE,"Bu ekran adı zaten kullanılıyor."
_ERROR_SCREEN_NAME_TOO_LONG,"Ekran adı 50 karakterden uzun olamaz."
_ERROR_SALUTATION_TOO_LONG,"Selamlama 25 karakterden uzun olamaz."
_ERROR_FIRST_NAME_TOO_LONG,"Ad 100 karakterden uzun olamaz."
_ERROR_LAST_NAME_TOO_LONG,"Soyadı 100 karakterden uzun olamaz."
_ERROR_EMAIL_ADDRESS_INVALID,"E-posta adresi geçerli değil."
_ERROR_EMAIL_ADDRESS_IN_USE,"Bu e-posta adresi zaten kullanılıyor."
