"Language ID","Module"
sv,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"januari"
_MONTH_LONG_02,"februari"
_MONTH_LONG_03,"mars"
_MONTH_LONG_04,"april"
_MONTH_LONG_05,"maj"
_MONTH_LONG_06,"juni"
_MONTH_LONG_07,"juli"
_MONTH_LONG_08,"augusti"
_MONTH_LONG_09,"september"
_MONTH_LONG_10,"oktober"
_MONTH_LONG_11,"november"
_MONTH_LONG_12,"december"
_MONTH_SHORT_01,"januari"
_MONTH_SHORT_02,"februari"
_MONTH_SHORT_03,"mars"
_MONTH_SHORT_04,"april"
_MONTH_SHORT_05,"maj"
_MONTH_SHORT_06,"juni"
_MONTH_SHORT_07,"juli"
_MONTH_SHORT_08,"augusti"
_MONTH_SHORT_09,"september"
_MONTH_SHORT_10,"oktober"
_MONTH_SHORT_11,"november"
_MONTH_SHORT_12,"december"
_WEEKDAY_0,"Söndag"
_WEEKDAY_1,"Måndag"
_WEEKDAY_2,"tisdag"
_WEEKDAY_3,"Onsdag"
_WEEKDAY_4,"Torsdag"
_WEEKDAY_5,"Fredag"
_WEEKDAY_6,"Lördag"
_WEEKDAY_SHORT_0,"sön"
_WEEKDAY_SHORT_1,"mån"
_WEEKDAY_SHORT_2,"tis"
_WEEKDAY_SHORT_3,"ons"
_WEEKDAY_SHORT_4,"tor"
_WEEKDAY_SHORT_5,"fre"
_WEEKDAY_SHORT_6,"lör"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
_CANCEL,"Avboka"
_COPIED,"Kopierade"
_COPIED_TO_CLIPBOARD,"Kopierade till urklipp"
_COPY_TO_CLIPBOARD,"Kopiera till urklipp"
_NEXT,"Nästa"
_PREV,"Föreg"
