"Language ID","Module"
ru,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"январь"
_MONTH_LONG_02,"февраль"
_MONTH_LONG_03,"март"
_MONTH_LONG_04,"апрель"
_MONTH_LONG_05,"может"
_MONTH_LONG_06,"июнь"
_MONTH_LONG_07,"июль"
_MONTH_LONG_08,"август"
_MONTH_LONG_09,"сентябрь"
_MONTH_LONG_10,"октябрь"
_MONTH_LONG_11,"ноябрь"
_MONTH_LONG_12,"декабрь"
_MONTH_SHORT_01,"январь"
_MONTH_SHORT_02,"февраль"
_MONTH_SHORT_03,"март"
_MONTH_SHORT_04,"апрель"
_MONTH_SHORT_05,"может"
_MONTH_SHORT_06,"июнь"
_MONTH_SHORT_07,"июль"
_MONTH_SHORT_08,"август"
_MONTH_SHORT_09,"сентябрь"
_MONTH_SHORT_10,"октябрь"
_MONTH_SHORT_11,"ноябрь"
_MONTH_SHORT_12,"декабрь"
_WEEKDAY_0,"воскресенье"
_WEEKDAY_1,"понедельник"
_WEEKDAY_2,"вторник"
_WEEKDAY_3,"среда"
_WEEKDAY_4,"четверг"
_WEEKDAY_5,"пятница"
_WEEKDAY_6,"суббота"
_WEEKDAY_SHORT_0,"вс"
_WEEKDAY_SHORT_1,"пн"
_WEEKDAY_SHORT_2,"вт"
_WEEKDAY_SHORT_3,"ср"
_WEEKDAY_SHORT_4,"чт"
_WEEKDAY_SHORT_5,"пт"
_WEEKDAY_SHORT_6,"сб"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
