Language ID,Module
de,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"Januar"
_MONTH_LONG_02,"Februar"
_MONTH_LONG_03,"März"
_MONTH_LONG_04,"April"
_MONTH_LONG_05,"Mai"
_MONTH_LONG_06,"Juni"
_MONTH_LONG_07,"Juli"
_MONTH_LONG_08,"August"
_MONTH_LONG_09,"September"
_MONTH_LONG_10,"Oktober"
_MONTH_LONG_11,"November"
_MONTH_LONG_12,"Dezember"
_MONTH_SHORT_01,"Jan"
_MONTH_SHORT_02,"Feb"
_MONTH_SHORT_03,"März"
_MONTH_SHORT_04,"Apr"
_MONTH_SHORT_05,"Mai"
_MONTH_SHORT_06,"Jun"
_MONTH_SHORT_07,"Jul"
_MONTH_SHORT_08,"Aug"
_MONTH_SHORT_09,"Sep"
_MONTH_SHORT_10,"Okt"
_MONTH_SHORT_11,"Nov"
_MONTH_SHORT_12,"Dez"
_WEEKDAY_0,"Sonntag"
_WEEKDAY_1,"Montag"
_WEEKDAY_2,"Dienstag"
_WEEKDAY_3,"Mittwoch"
_WEEKDAY_4,"Donnerstag"
_WEEKDAY_5,"Freitag"
_WEEKDAY_6,"Samstag"
_WEEKDAY_SHORT_0,"So"
_WEEKDAY_SHORT_1,"Mo"
_WEEKDAY_SHORT_2,"Di"
_WEEKDAY_SHORT_3,"Mi"
_WEEKDAY_SHORT_4,"Do"
_WEEKDAY_SHORT_5,"Fr"
_WEEKDAY_SHORT_6,"Sa"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
_CANCEL,"Abbrechen"
_COPIED,"Kopiert"
_COPIED_TO_CLIPBOARD,"In die Zwischenablage kopiert"
_COPY_TO_CLIPBOARD,"In die Zwischenablage kopieren"
_NEXT,"Weiter"
_PREV,"Zurück"
_FILENAME,"Dateiname:"
_LANGUAGE,"Sprache:"
_PUBLISHED,"Veröffentlicht:"
_CHOOSE_YOUR_LANGUAGE,"Wählen Sie Ihre Sprache:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"Der Bildschirmname darf nur Kleinbuchstaben a-z, Großbuchstaben A-Z, Zahlen 0-9, Bindestriche, Unterstriche und Punkte enthalten."
_ERROR_SCREEN_NAME_IN_USE,"Dieser Bildschirmname wird bereits verwendet."
_ERROR_SCREEN_NAME_TOO_LONG,"Der Bildschirmname darf nicht länger als 50 Zeichen sein."
_ERROR_SALUTATION_TOO_LONG,"Die Anrede darf nicht länger als 25 Zeichen sein."
_ERROR_FIRST_NAME_TOO_LONG,"Der Vorname darf nicht länger als 100 Zeichen sein."
_ERROR_LAST_NAME_TOO_LONG,"Der Nachname darf nicht länger als 100 Zeichen sein."
_ERROR_EMAIL_ADDRESS_INVALID,"Die E-Mail-Adresse ist nicht gültig."
_ERROR_EMAIL_ADDRESS_IN_USE,"Diese E-Mail-Adresse wird bereits verwendet."
