"Language ID","Module"
da,zenario_common_features

"Phrase Code",Translation
_MONTH_LONG_01,"januar"
_MONTH_LONG_02,"februar"
_MONTH_LONG_03,"marts"
_MONTH_LONG_04,"april"
_MONTH_LONG_05,"maj"
_MONTH_LONG_06,"juni"
_MONTH_LONG_07,"juli"
_MONTH_LONG_08,"august"
_MONTH_LONG_09,"september"
_MONTH_LONG_10,"oktober"
_MONTH_LONG_11,"november"
_MONTH_LONG_12,"december"
_MONTH_SHORT_01,"januar"
_MONTH_SHORT_02,"februar"
_MONTH_SHORT_03,"marts"
_MONTH_SHORT_04,"april"
_MONTH_SHORT_05,"maj"
_MONTH_SHORT_06,"juni"
_MONTH_SHORT_07,"juli"
_MONTH_SHORT_08,"august"
_MONTH_SHORT_09,"september"
_MONTH_SHORT_10,"oktober"
_MONTH_SHORT_11,"november"
_MONTH_SHORT_12,"december"
_WEEKDAY_0,"søndag"
_WEEKDAY_1,"Mandag"
_WEEKDAY_2,"Tirsdag"
_WEEKDAY_3,"Onsdag"
_WEEKDAY_4,"Torsdag"
_WEEKDAY_5,"Fredag"
_WEEKDAY_6,"lørdag"
_WEEKDAY_SHORT_0,"søn"
_WEEKDAY_SHORT_1,"man"
_WEEKDAY_SHORT_2,"tir"
_WEEKDAY_SHORT_3,"ons"
_WEEKDAY_SHORT_4,"tor"
_WEEKDAY_SHORT_5,"fre"
_WEEKDAY_SHORT_6,"lør"
_FILE_SIZE_UNIT_GB,"GB"
_FILE_SIZE_UNIT_MB,"MB"
_FILE_SIZE_UNIT_KB,"KB"
_FILE_SIZE_UNIT_BYTE,"byte"
_FILE_SIZE_UNIT_BYTES,"bytes"
_CANCEL,"Ophæve"
_COPIED,"Kopieret"
_COPIED_TO_CLIPBOARD,"Kopieret til udklipsholder"
_COPY_TO_CLIPBOARD,"Kopiér til udklipsholder"
_NEXT,"Næste"
_PREV,"Forrige"
_FILENAME,"Filnavn:"
_LANGUAGE,"Sprog:"
_PUBLISHED,"Udgivet:"
_CHOOSE_YOUR_LANGUAGE,"Vælg dit sprog:"
_ERROR_SCREEN_NAME_USES_INVALID_CHARACTERS,"Skærmnavn kan kun indeholde små bogstaver a-z, store bogstaver A-Z, tal 0-9, bindestreger, understreger og punkter."
_ERROR_SCREEN_NAME_IN_USE,"Dette skærmnavn er allerede i brug."
_ERROR_SCREEN_NAME_TOO_LONG,"Skærmnavn kan ikke være længere end 50 tegn."
_ERROR_SALUTATION_TOO_LONG,"Tiltale kan ikke være længere end 25 tegn."
_ERROR_FIRST_NAME_TOO_LONG,"Fornavn kan ikke være længere end 100 tegn."
_ERROR_LAST_NAME_TOO_LONG,"Efternavn kan ikke være længere end 100 tegn."
_ERROR_EMAIL_ADDRESS_INVALID,"E-mail-adressen er ikke gyldig."
_ERROR_EMAIL_ADDRESS_IN_USE,"Denne e-mail-adresse er allerede i brug."
